wavenumber_cm-1,intensity
3681.4691151919865,1.336624173290094e-24
3687.4791318864773,5.48976128906715e-26
3693.489148580968,2.0600629504605283e-27
3699.4991652754593,7.063019486745993e-29
3705.50918196995,2.212499591686194e-30
3711.519198664441,6.332262002018908e-32
3717.5292153589317,1.6558364337781706e-33
3723.5392320534224,3.9560236069990717e-35
3729.549248747913,8.635414660816382e-37
3735.559265442404,1.722227027890799e-38
3741.569282136895,3.138199048315994e-40
3747.5792988313856,5.2246049071024556e-42
3753.5893155258764,7.94711144743943e-44
3759.599332220367,1.1044550231648762e-45
3765.609348914858,1.402392717651319e-47
3771.6193656093487,1.62694976252932e-49
3777.6293823038395,1.7244933329104458e-51
3783.6393989983303,1.6700588619894542e-53
3789.6494156928215,1.4776953912535963e-55
3795.6594323873123,1.1945956834664903e-57
3801.669449081803,8.823478774577051e-60
3807.679465776294,5.954449705268104e-62
3813.6894824707847,3.6713543127867685e-64
3819.6994991652755,2.0682062624839563e-66
3825.7095158597663,1.0644966041758038e-68
3831.719532554257,5.005847254879069e-71
3837.729549248748,2.1507691026262136e-73
3843.7395659432386,8.44292372754733e-76
3849.7495826377294,3.0281321542235713e-78
3855.75959933222,9.922924009231503e-81
3861.769616026711,2.9708955827338784e-83
3867.779632721202,8.126770443360857e-86
3873.789649415693,2.0311008066572583e-88
3879.799666110184,4.6379690554928677e-91
3885.8096828046746,9.676250359432223e-94
3891.8196994991654,1.8444599448780137e-96
3897.829716193656,3.2122862733844105e-99
3903.839732888147,5.111426701201889e-102
3909.8497495826377,7.431096730701523e-105
3915.8597662771285,9.870668658905852e-108
3921.8697829716193,1.1979070326508198e-110
3927.87979966611,1.3282582967222932e-113
3933.889816360601,1.3456274625091805e-116
3939.8998330550917,1.245518057660187e-119
3945.9098497495825,1.0533145821941378e-122
3951.9198664440733,8.138587681847054e-126
3957.929883138564,5.745434510677877e-129
3963.9398998330553,3.7057796534584637e-132
3969.949916527546,2.1838318121589755e-135
3975.959933222037,1.1758222270823159e-138
3981.9699499165276,5.7842495956271996e-142
3987.9799666110184,2.599772024051648e-145
3993.989983305509,1.0675946506298954e-148
4000.0,4.005533735648562e-152
